"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"28.13.14.191";"Насосы для жидкого металла индукционные";"28"
"95.22.10.243";"Услуги по ремонту комнатных кондиционеров воздуха";"95"
"56.10.11.119";"Услуги прочих предприятий питания с полным обслуживанием в сопровождении развлекательных программ";"56"
"13.93.19.110";"Ковры прочие (включая войлочные)";"13"
"71.12.11.000";"Услуги в виде научно-технических консультаций";"71"
"33.12.13.000";"Услуги по ремонту и техническому обслуживанию подшипников, зубчатых колес, зубчатых передач и элементов приводов";"33"
"28.14.13.130";"Краны и клапаны шаровые";"28"
"20.59.52.130";"Составы и заряды для огнетушителей";"20"
"27.20.23.110";"Батареи аккумуляторные никель-кадмиевые";"27"
"23.31.10.129";"Плитки керамические прочие";"23"
"25.30.12.115";"Оборудование теплообменное";"25"
"27.52.13.000";"Воздухонагреватели или распределительные устройства для подачи горячего воздуха неэлектрические из черных металлов, не включенные в другие группировки";"27"
"25.21.11.120";"Радиаторы центрального отопления и их секции стальные";"25"
"72.11.20.000";"Работы оригинальные научных исследований и экспериментальных разработок в области биотехнологии";"72"
"21.20.24.150";"Изделия медицинские ватно-марлевые";"21"
"20.16.59.170";"Полимеры акриловой кислоты в первичных формах";"20"
"20.16.57.110";"Смолы кремнийорганические в первичных формах";"20"
"27.40.15.150";"Лампы светодиодные";"27"
"84.11.29.000";"Услуги, обеспечивающие деятельность органов государственного управления, прочие";"84"
"25.99.21.130";"Ящики металлические, специально предназначенные для хранения денег и документов и аналогичные изделия";"25"
"25.99.21.113";"Сейфы и шкафы взломостойкие для хранения наркотических и специальных средств";"25"
"20.16.10.119";"Полиэтилен прочий";"20"
"25.93.14.119";"Гвозди прочие";"25"
"25.72.12.190";"Замки из недрагоценных металлов прочие, не включенные в другие группировки";"25"
"52.24.19.120";"Услуги транспортные вспомогательные для грузового транспорта, не включенные в другие группировки";"52"
"25.61.12.190";"Услуги по нанесению на металлы прочих покрытий";"25"
"32.50.23.000";"Части и принадлежности протезов и ортопедических приспособлений";"32"
"28.25.14.111";"Фильтры для очистки воздуха";"28"
"20.14.61.000";"Соединения с альдегидной функциональной группой";"20"
"20.60.12.110";"Нити полиамидные высокопрочные";"20"
"25.71.12.110";"Бритвы";"25"
"28.99.11.152";"Прессы переплетно-обжимные";"28"
"20.60.13.000";"Нити синтетические одиночные прочие";"20"
"26.51.45.119";"Приборы электроизмерительные регистрирующие прочие";"26"
"20.59.52.140";"Среды готовые питательные для выращивания микроорганизмов";"20"
"26.60.13.130";"Аппараты высокочастотной и низкочастотной терапии";"26"
"28.94.23.000";"Центрифуги для сушки одежды";"28"
"27.40.15.114";"Лампы люминесцентные";"27"
"10.51.40.211";"Продукты сырные мягкие, в том числе с вкусовыми компонентами";"10"
"10.51.52.123";"Сметана от 20,0 % до 24,0 % жирности";"10"
"32.91.19.130";"Ерши";"32"
"20.16.40.140";"Поликарбонаты в первичных формах";"20"
"26.80.12.000";"Носители данных оптические без записи";"26"
"20.59.30.190";"Чернила прочие";"20"
"10.51.56.152";"Сырки творожные";"10"
"26.30.60.190";"Части устройств охранной или пожарной сигнализации и аналогичной аппаратуры прочие, не включенные в другие группировки";"26"
"10.51.52.212";"Сметана от 18,0 % до 22,0 % жирности";"10"
"13.95.10.111";"Материалы нетканые из текстильных волокон";"13"
"20.13.43.119";"Сода кальцинированная прочая";"20"
"20.14.34.231";"Кислота лимонная";"20"
"25.71.11.120";"Ножницы";"25"
"17.12.43.112";"Бумага фильтровальная лабораторная";"17"
"32.99.11.120";"Респираторы";"32"
"13.92.24.190";"Изделия аналогичные прочие, пружинные или набивные, или с внутренним наполнителем из любого материала, или изготовленные из губки или пластмасс";"13"
"20.41.32.125";"Средства отбеливающие для стирки";"20"
"16.29.12.000";"Принадлежности столовые и кухонные деревянные";"16"
"24.20.14.120";"Профили пустотелые стальные";"24"
"23.64.10.110";"Смеси строительные";"23"
"23.51.12.112";"Портландцемент с минеральными добавками";"23"
"23.52.10.110";"Известь негашеная";"23"
"26.30.50.121";"Извещатели пожарные";"26"
"30.20.31.122";"Тележки, вагоны и инструменты путеизмерительные";"30"
"42.99.21.122";"Работы строительные по ремонту сооружений для обрабатывающей промышленности";"42"
"28.29.31.112";"Весы платформенные и бункерные";"28"
"10.51.51.112";"Молоко сгущенное (концентрированное) пастеризованное";"10"
"31.01.11.123";"Шкафы картотечные металлические";"31"
"23.13.13.112";"Посуда столовая и кухонная из прочего стекла";"23"
"47.52.50.000";"Услуги по розничной торговле санитарно-техническим оборудованием в специализированных магазинах";"47"
"71.20.19.112";"Услуги по проведению негосударственной экспертизы проектной документации и результатов инженерных изысканий";"71"
"47.52.79.000";"Услуги по розничной торговле прочими строительными материалами, не включенными в другие группировки, в специализированных магазинах";"47"
"26.60.13.150";"Аппараты ультразвуковой терапии";"26"
"10.86.10.612";"Сосиски (колбаски) вареные для детского питания";"10"
"16.29.14.191";"Изделия хозяйственного назначения деревянные";"16"
"15.12.12.210";"Наборы дорожные, используемые для личной гигиены, шитья или для чистки одежды или обуви";"15"
"23.12.13.110";"Зеркала стеклянные";"23"
"10.71.11.100";"Хлеб и хлебобулочные изделия недлительного хранения";"10"
"95.22.10.100";"Услуги по ремонту бытовых машин, узлов и деталей к ним";"95"
"27.40.22.130";"Светильники электрические настольные, прикроватные или напольные, предназначенные для использования со светодиодными лампами и прочими светодиодными источниками света";"27"
"32.30.14.123";"Велотренажеры";"32"
"10.84.22.110";"Перец черный дробленый или молотый";"10"
"15.20.29.190";"Обувь спортивная прочая, кроме лыжных ботинок и ботинок с коньками, не включенная в другие группировки";"15"
"32.30.15.116";"Инвентарь для игры в хоккей на траве";"32"
"25.93.17.110";"Цепи (кроме шарнирных цепей) и их детали из черных металлов";"25"
"22.21.29.120";"Трубки, шланги и рукава прочие пластмассовые";"22"
"20.13.43.111";"Сода кальцинированная техническая";"20"
"22.19.60.112";"Перчатки резиновые технические";"22"
"20.30.22.160";"Замазки";"20"
"13.20.20.119";"Ткани хлопчатобумажные бытовые прочие";"13"
"24.10.71.111";"Уголки стальные горячекатаные равнополочные из нелегированных сталей";"24"
"46.49.22.000";"Услуги по оптовой торговле журналами и газетами";"46"
"96.01.19.132";"Услуги по приему белья в стирку на дому у заказчика и доставка белья после стирки";"96"
"13.96.17.131";"Тесьма плетеная и шнуры";"13"
"23.42.10.150";"Унитазы керамические";"23"
"16.21.12.111";"Фанера общего назначения";"16"
"10.11.20.110";"Субпродукты пищевые крупного рогатого скота парные, остывшие или охлажденные";"10"
"22.21.21.124";"Трубы металлопластовые, в т.ч. для уранодобывающего производства";"22"
"27.33.12.000";"Патроны для ламп на напряжение не более 1 кВ";"27"
"20.13.25.119";"Оксиды, гидроксиды и пероксиды прочие";"20"
"19.20.29.100";"Масла нефтяные смазочные";"19"
"10.61.33.120";"Зерна шелушеные, обрушенные, в виде сечки или дробленые";"10"
"13.95.10.112";"Материалы нетканые из химических нитей";"13"
"25.29.12.191";"Емкости из черных металлов и алюминия для сжатых или сжиженных газов прочие, не включенные в другие группировки";"25"
"26.60.13.170";"Аппараты лазерной терапии";"26"
"20.42.15.190";"Средства косметические для ухода за кожей прочие, не включенные в другие группировки";"20"
"72.11.11.000";"Услуги, связанные с научными исследованиями и экспериментальными разработками в области биотехнологии в области здоровья";"72"
"17.12.14.122";"Бумага чертежная";"17"
"85.42.19.120";"Услуги по повышению квалификации (дополнительное профессиональное образование) специалистов в области использования атомной энергии";"85"
"32.50.30.120";"Кресла парикмахерские и аналогичные кресла с устройствами для поворота, подъема, наклона и их детали";"32"
"47.29.36.000";"Услуги по розничной торговле гомогенизированными пищевыми продуктами, детским и диетическим питанием в специализированных магазинах";"47"
"22.19.60.190";"Предметы одежды и ее аксессуары из вулканизированной резины, кроме твердой резины (эбонита)";"22"
"62.02.20.140";"Услуги по подготовке компьютерных систем к эксплуатации";"62"
"20.42.15.150";"Средства защитные для кожи (включая солнцезащитные и для загара), не включенные в другие группировки";"20"
"33.20.21.000";"Услуги по монтажу офисных и счетных машин";"33"
"27.12.99.000";"Услуги по производству электрической распределительной и регулирующей аппаратуры отдельные, выполняемые субподрядчиком";"27"
"43.34.20.120";"Работы внутренние по установке оконных стекол";"43"
"47.19.10.000";"Услуги по розничной торговле большим товарным ассортиментом с преобладанием непродовольственных товаров в неспециализированных магазинах";"47"
"10.39.21.120";"Ягоды свежие или предварительно подвергнутые тепловой обработке, замороженные";"10"
"96.01.12.111";"Услуги по химической чистке одежды из тканей с содержанием натуральных, синтетических и искусственных волокон";"96"
"28.23.13.120";"Аппараты контрольно-кассовые";"28"
"25.29.12.110";"Баллоны стальные малого и среднего объема";"25"
"45.20.11.212";"Услуги по ремонту двигателей (кроме деталей электрообородования, шин и кузовов)";"45"
"17.23.11.150";"Бумага клейкая или гуммированная";"17"
"46.43.13.000";"Услуги по оптовой торговле грампластинками, аудио- и видеомагнитными лентами, компакт-дисками (CD) и цифровыми видеодисками (DVD), кроме носителей без записей";"46"
"23.31.10.121";"Плитки керамические глазурованные для внутренней облицовки стен";"23"
"22.22.13.000";"Коробки, ящики, корзины и аналогичные пластмассовые изделия";"22"
"43.21.10.160";"Работы по монтажу проводных и кабельных сетей кабельного телевидения в здании";"43"
"26.51.33.199";"Инструмент измерительный прочий, не включенный в другие группировки";"26"
"32.30.14.121";"Тренажеры силовые";"32"
"43.29.19.120";"Работы по монтажу дверей автоматического действия и вращающихся дверей";"43"
"01.13.19.000";"Овощи листовые или стебельные прочие";"01"
"10.82.23.145";"Батончики неглазированные";"10"
"10.51.52.110";"Йогурт";"10"
"14.14.21.000";"Рубашки мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных";"14"
"10.61.12.000";"Рис полуобрушенный или полностью обрушенный, или дробленый";"10"
"13.92.13.111";"Скатерти из хлопчатобумажных тканей";"13"
"13.96.13.130";"Ленты текстильные пропитанные или с пластмассовым или резиновым покрытием";"13"
"18.20.30.000";"Услуги по копированию программных средств";"18"
"64.19.12.151";"Услуги по привлечению денежных средств на основании договора передачи личных сбережений";"64"
"26.80.11.000";"Носители данных магнитные без записи, кроме магнитных карт";"26"
"28.21.13.124";"Оборудование инфракрасного нагрева";"28"
"14.13.24.110";"Брюки мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных";"14"
"01.13.39.130";"Тыквы";"01"
"10.84.12.120";"Кетчуп и соусы томатные прочие";"10"
"10.61.32.117";"Крупа кукурузная";"10"
"28.93.15.139";"Оборудование для промышленного приготовления или подогрева пищи прочее, не включенное в другие группировки";"28"
"14.19.42.162";"Уборы головные женские или для девочек трикотажные или вязаные";"14"
"26.30.12.000";"Аппаратура коммуникационная передающая без приемных устройств";"26"
"14.13.22.110";"Костюмы мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных";"14"
"14.14.12.130";"Рубашки ночные, пижамы мужские или для мальчиков трикотажные или вязаные";"14"
"14.31.10.141";"Носки мужские из шерстяной и смешанной (полушерстяной) пряжи";"14"
"25.99.99.214";"Услуги по изготовлению секций парниковых теплиц по индивидуальному заказу населения";"25"
"01.13.12.120";"Капуста белокочанная";"01"
"10.72.11.120";"Изделия хлебобулочные сухарные";"10"
"14.19.42.159";"Уборы головные швейные прочие женские или для девочек";"14"
"13.99.19.141";"Прокладки женские гигиенические, салфетки и тампоны из ваты из прочих текстильных нитей";"13"
"17.23.13.194";"Тетради школьные ученические";"17"
"27.12.22.000";"Выключатели автоматические на напряжение не более 1 кВ";"27"
"10.86.10.192";"Продукция детского питания на основе полных или частичных гидролизатов белка";"10"
"96.09.19.111";"Услуги справочно-информационной службы по оказанию услуг населению по заполнению бланков, написанию заявлений, снятию копий по индивидуальному заказу населения";"96"
"22.21.30.120";"Пленки пластмассовые, неармированные или не комбинированные с другими материалами";"22"
"26.51.84.110";"Комплектующие (запасные части) счетчиков производства или потребления газа, жидкости или электроэнергии, не имеющие самостоятельных группировок";"26"
"95.21.10.000";"Услуги по ремонту приборов бытовой электроники";"95"
"45.20.11.517";"Услуги по установке, тонированию и бронированию стекол автомобилей";"45"
"46.18.11.120";"Услуги по оптовой торговле изделиями, применяемыми в медицинских целях, за вознаграждение или на договорной основе";"46"
"10.32.17.140";"Смеси фруктовых и (или) овощных соков концентрированные";"10"
"35.11.10.114";"Электроэнергия, произведенная дизельными электростанциями (ДЭС) общего назначения";"35"
"28.49.12.119";"Станки деревообрабатывающие прочие";"28"
"28.93.13.132";"Машины шлифовальные и полировальные";"28"
"28.94.22.130";"Машины сушильные с загрузкой более 10 кг";"28"
"26.51.83.110";"Комплектующие (запасные части) микроскопов (кроме оптических), не имеющие самостоятельных группировок";"26"
"69.20.22.000";"Услуги по бухгалтерскому консультированию";"69"
"10.81.19.122";"Сахар коричневый свекловичный в твердом состоянии без вкусоароматических или красящих добавок";"10"
"10.32.16.110";"Сок яблочный прямого отжима";"10"
"33.16.10.000";"Услуги по ремонту и техническому обслуживанию летательных и космических аппаратов";"33"
"77.39.14.000";"Услуги по аренде и лизингу телекоммуникационного оборудования";"77"
"19.20.25.110";"Топливо для реактивных двигателей летательных аппаратов с дозвуковой скоростью полета";"19"
"30.30.60.130";"Услуги по восстановлению вертолетов";"30"
"84.12.13.000";"Услуги государственного управления в области жилищного строительства и коммунального хозяйства";"84"
"27.51.27.000";"Печи микроволновые";"27"
"25.11.23.120";"Конструкции и детали конструкций из алюминия прочие";"25"
"31.02.10.140";"Наборы кухонной мебели";"31"
"17.12.51.000";"Картон немелованный с серым оборотом";"17"
"32.99.12.110";"Ручки шариковые";"32"
"13.92.12.113";"Наволочки из хлопчатобумажных тканей";"13"
"13.20.12.112";"Ткани костюмные камвольные шерстяные";"13"
"29.32.30.210";"Подвески, их узлы и детали";"29"
"49.41.12.000";"Услуги по перевозке автомобильным транспортом нефтепродуктов в автоцистернах или полуприцепах-цистернах";"49"
"25.91.12.000";"Цистерны, бочки, барабаны, банки (кроме закрываемых пайкой или отбортовкой), ящики и аналогичные емкости для любых веществ (кроме газов) вместимостью менее 50 л из черных металлов, без механического или теплотехнического оборудования";"25"
"74.90.12.126";"Услуги по установлению рыночной или иной стоимости иных объектов гражданских прав, в отношении которых законодательством Российской Федерации установлена возможность их участия в гражданском обороте";"74"
"74.90.12.121";"Услуги по установлению рыночной или иной стоимости отдельных материальных объектов (вещей)";"74"
"29.32.30.150";"Управление рулевое, его узлы и детали";"29"
"71.12.12.190";"Услуги по инженерно-техническому проектированию зданий прочие, не включенные в другие группировки";"71"
"66.19.99.190";"Услуги вспомогательные по отношению к финансовым услугам прочие, не включенные в другие группировки, кроме страхования и пенсионного обеспечения";"66"
"61.20.42.000";"Услуги по широкополосному доступу к информационно-коммуникационной сети Интернет по беспроводным сетям";"61"
"96.09.12.000";"Услуги сопровождающих лиц";"96"
"22.29.26.190";"Изделия пластмассовые декоративные прочие";"22"
"20.14.19.190";"Производные углеводородов прочие, не включенные в другие группировки";"20"
"65.12.90.000";"Услуги по страхованию, кроме страхования жизни, прочие";"65"
"38.12.13.000";"Услуги по сбору опасных отходов городского хозяйства";"38"
"42.11.10.159";"Дороги подъездные, транспортные и пешеходные путепроводы над и под дорогой, велосипедные дорожки прочие";"42"
"19.20.21.313";"Топливо дизельное летнее экологического класса К3";"19"
"25.72.14.130";"Петли, арматура крепежная, фурнитура и аналогичные изделия для мебели из недрагоценных металлов";"25"
"71.20.19.129";"Услуги по проведению сертификации продукции, услуг и организаций прочие, не включенные в другие группировки";"71"
"45.20.21.213";"Услуги по ремонту коробки перемены передач (КПП)";"45"
"25.73.30.292";"Пломбиры";"25"
"29.32.30.260";"Системы вентиляции, отопления и кондиционирования воздуха, их узлы и детали";"29"
"45.20.21.511";"Услуги по переоборудованию автомобилей для работы на сжатом природном или сжиженных нефтяном или природном газах";"45"
"15.20.32.122";"Обувь специальная кожаная для защиты от механических воздействий";"15"
"15.12.19.110";"Изделия прочие из кожи натуральной или композиционной, не включенные в другие группировки";"15"
"45.20.11.214";"Услуги по ремонту рулевого управления и подвески";"45"
"10.32.17.130";"Смеси фруктовых и овощных соков";"10"
"73.12.13.000";"Услуги по продаже места или времени для рекламы в информационно-коммуникационной сети Интернет за вознаграждение или на договорной основе";"73"
"09.10.13.110";"Услуги по сжижению природного газа";"09"
"47.41.20.000";"Услуги по розничной торговле программным обеспечением в специализированных магазинах";"47"
"22.11.20.000";"Шины и покрышки пневматические резиновые восстановленные";"22"
"26.51.43.116";"Приборы цифровые электроизмерительные комбинированные";"26"
"28.29.70.110";"Оборудование и инструменты для пайки мягким и твердым припоем, и сварки неэлектрические и их комплектующие (запасные части), не имеющие самостоятельных группировок";"28"
"13.94.11.130";"Веревки из джута или прочих лубяных текстильных волокон";"13"
"13.96.16.190";"Материалы и изделия технического назначения прочие, не включенные в другие группировки";"13"
"22.19.20.111";"Смеси резиновые";"22"
"27.12.10.120";"Разъединители, короткозамыкатели, отделители, заземлители переменного тока высокого напряжения";"27"
"22.19.73.114";"Уплотнители резиновые";"22"
"27.32.14.190";"Проводники электрические на напряжение более 1 кВ прочие, не включенные в другие группировки";"27"
"49.39.35.000";"Услуги по перевозке пассажиров транспортными средствами, приводимыми в движение человеком или животными";"49"
"27.11.21.000";"Электродвигатели переменного и постоянного тока универсальные мощностью более 37,5 Вт";"27"
"27.90.13.129";"Электроды угольные и изделия из графита и других видов углерода электротехнические прочие, не включенные в другие группировки";"27"
"28.15.10.110";"Подшипники качения шариковые";"28"
"26.11.22.200";"Светодиоды, светодиодные модули и их части";"26"
"23.91.11.190";"Изделия абразивные прочие, не включенные в другие группировки";"23"
"19.20.29.140";"Масла электроизоляционные";"19"
"29.32.30.136";"Детали и узлы механических приводов тормозной системы";"29"
"30.20.40.130";"Комплектующие (запасные части) вагонов метрополитена, не имеющие самостоятельных группировок";"30"
"25.73.30.299";"Инструмент слесарно-монтажный прочий, не включенный в другие группировки";"25"
"28.22.13.111";"Домкраты гидравлические";"28"
"27.32.14.112";"Кабели силовые с алюминиевой жилой на напряжение более 1 кВ";"27"
"27.31.11.000";"Кабели волоконно-оптические, состоящие из волокон с индивидуальными оболочками";"27"
"27.32.13.152";"Кабели связи телефонные";"27"
"27.32.13.136";"Провода и кабели нагревательные";"27"
"27.33.13.120";"Соединители электрические, зажимы контактные, наборы зажимов";"27"
"27.12.32.000";"Панели и прочие комплекты электрической аппаратуры коммутации или защиты на напряжение более 1 кВ";"27"
"19.20.29.211";"Смазки пластичные";"19"
"28.15.24.119";"Редукторы и передачи зубчатые прочие";"28"
"24.44.24.120";"Полосы и ленты из меди толщиной более 0,15 мм";"24"
"27.11.23.000";"Электродвигатели переменного тока многофазные мощностью не более 750 Вт";"27"
"31.01.11.110";"Столы офисные металлические";"31"
"20.30.12.110";"Лаки на основе сложных полиэфиров, акриловых или виниловых полимеров в неводной среде";"20"
"20.59.56.120";"Флюсы";"20"
"19.20.29.120";"Масла гидравлические";"19"
"29.32.30.132";"Колодки с накладками в сборе для дисковых и барабанных тормозов, фрикционные накладки для барабанных и дисковых тормозов";"29"
"30.20.40.110";"Комплектующие (запасные части) железнодорожных локомотивов, не имеющие самостоятельных группировок";"30"
"27.32.13.112";"Кабели силовые с алюминиевой жилой на напряжение до 1 кВ";"27"
"23.11.11.120";"Стекло листовое бесцветное марки М1";"23"
"13.96.14.122";"Ткани с покрытием из полиуретана";"13"
"26.11.21.110";"Диоды";"26"
"24.10.80.113";"Бандажи для вагонов трамвая";"24"
"27.12.21.000";"Предохранители плавкие на напряжение не более 1 кВ";"27"
"28.15.10.120";"Подшипники качения роликовые";"28"
"28.41.22.130";"Станки фрезерные металлорежущие";"28"
"19.20.21.320";"Топливо дизельное зимнее";"19"
"30.20.20.120";"Вагоны трамвайные пассажирские самоходные (моторные)";"30"
"27.33.13.140";"Контакторы электромагнитные";"27"
"20.16.53.000";"Полиакрилаты в первичных формах";"20"
"29.32.30.240";"Передачи карданные, валы приводные, шарниры неравных и равных угловых скоростей";"29"
"27.90.13.121";"Щетки для электрических машин и оборудования из графита и других видов углерода";"27"
"26.20.12.110";"Терминалы кассовые, подключаемые к компьютеру или сети передачи данных";"26"
"16.10.32.110";"Шпалы деревянные для железных дорог пропитанные";"16"
"24.10.75.120";"Рельсы для трамвайных путей";"24"
"27.11.31.000";"Установки генераторные с двигателями внутреннего сгорания с воспламенением от сжатия";"27"
"30.20.31.123";"Машины ремонтные рельсошлифовальные";"30"
"28.22.13.120";"Механизмы подъемные, используемые для подъема транспортных средств";"28"
"20.41.41.000";"Средства для дезодорирования и ароматизации воздуха в помещениях";"20"
"25.99.22.130";"Подставки для печатей и аналогичное офисное и канцелярское оборудование металлическое, кроме офисной мебели";"25"
"17.12.77.120";"Картон из целлюлозных волокон мелованный с пропиткой, покрытием, окрашенной поверхностью или с отпечатанными знаками, в рулонах или листах";"17"
"17.23.13.191";"Блокноты, записные книжки и книги для записей";"17"
"20.52.10.120";"Клеи на основе смол, получаемых поликонденсацией";"20"
"25.71.13.110";"Изделия ножевые прочие";"25"
"26.51.33.141";"Линейки";"26"
"32.99.15.110";"Карандаши простые и цветные с грифелями в твердой оболочке";"32"
"15.20.32.120";"Обувь различная специальная";"15"
"14.13.21.130";"Плащи, плащи с капюшонами мужские или для мальчиков из текстильных материалов, кроме трикотажных или вязаных";"14"
"14.19.42.143";"Шляпы, панамы, береты швейные мужские или для мальчиков";"14"
"14.19.43.150";"Уборы головные прочие, кроме головных уборов из резины или пластмасс, защитных головных уборов и головных уборов из асбеста, не включенные в другие группировки";"14"
"20.41.32.113";"Средства моющие для окон";"20"
"20.41.31.110";"Мыло туалетное твердое";"20"
"20.41.32.114";"Средства моющие для туалетов и ванных комнат";"20"
"22.29.22.000";"Плиты, листы пластмассовые самоклеящиеся, прочие";"22"
"32.99.13.120";"Авторучки";"32"
"25.99.11.190";"Оборудование санитарно-техническое прочее и его части из черных металлов, меди или алюминия";"25"
"17.23.13.120";"Книги бухгалтерские из бумаги или картона";"17"
"17.23.13.192";"Альбомы и папки с бумагой (включая блоки)";"17"
"20.60.12.120";"Нити полиэфирные высокопрочные";"20"
"25.99.99.100";"Услуги по производству прочих металлических изделий, не включенных в другие группировки, отдельные, выполняемые субподрядчиком";"25"
"32.99.12.130";"Карандаши механические";"32"
"32.99.14.130";"Детали пишущих принадлежностей";"32"
"31.01.11.122";"Шкафы архивные металлические";"31"
"27.40.15.110";"Лампы газоразрядные";"27"
"95.11.10.120";"Услуги по ремонту ксерокопировальных аппаратов";"95"
"31.09.12.132";"Столы журнальные деревянные";"31"
"31.09.12.133";"Шкафы деревянные для столовой и гостиной";"31"
"21.20.10.242";"Препараты противогельминтные";"21"
"21.10.54.180";"Антибиотики для животных";"21"
"21.20.10.118";"Препараты, способствующие пищеварению, включая ферментные препараты";"21"
"21.20.21.139";"Вакцины прочие, применяемые в ветеринарии";"21"
"21.20.10.241";"Препараты противопротозойные";"21"
"15.12.11.120";"Упряжь для различных животных из любых материалов";"15"
"21.20.10.146";"Бета-адреноблокаторы";"21"
"21.20.10.255";"Препараты, применяемые при кашле и простудных заболеваниях";"21"
"21.20.10.156";"Препараты антибактериальные и противомикробные для лечения заболеваний кожи";"21"
"21.20.10.144";"Вазодилататоры периферические";"21"
"21.20.10.224";"Препараты для наружного применения при болевом синдроме при заболеваниях костно-мышечной системы";"21"
"21.20.10.231";"Анестетики";"21"
"21.20.10.256";"Препараты антигистаминные системного действия";"21"
"21.20.10.112";"Препараты для лечения заболеваний связанных с нарушением кислотности";"21"
"21.20.10.115";"Препараты слабительные";"21"
"21.20.10.132";"Гемостатики";"21"
"21.20.10.149";"Препараты гиполипидемические";"21"
"21.20.10.181";"Гормоны гипоталамуса и гипофиза и их аналоги";"21"
"21.20.10.226";"Препараты противоподагрические";"21"
"21.20.10.148";"Препараты, влияющие на систему ренин-ангиотензин";"21"
"21.20.10.153";"Препараты для лечения ран и язв";"21"
"21.20.10.151";"Препараты противогрибковые для лечения заболеваний кожи";"21"
"21.20.10.222";"Комбинации противовоспалительных препаратов";"21"
"21.20.10.180";"Препараты гормональные для системного использования, кроме половых гормонов";"21"
"21.10.10.120";"Кислота О-ацетилсалициловая и ее соли";"21"
"21.10.31.110";"Лактоны, не включенные в другие группировки";"21"
"21.20.10.140";"Препараты для лечения сердечно-сосудистой системы";"21"
"20.15.10.130";"Аммиак";"20"
"21.20.23.190";"Препараты фармацевтические прочие";"21"
"10.92.10.110";"Сухой корм животного происхождения";"10"
"21.20.21.121";"Вакцины бактериальные живые профилактические, применяемые в медицине";"21"
"21.20.10.171";"Антисептики и противомикробные препараты для лечения гинекологических заболеваний";"21"
"24.10.14.120";"Порошки железные";"24"
"13.96.16.170";"Ткани фильтровальные";"13"
"22.29.21.000";"Плиты, листы, пленка, лента и прочие плоские полимерные самоклеящиеся формы, в рулонах шириной не более 20 см";"22"
"13.20.20.110";"Ткани хлопчатобумажные бытовые";"13"
"23.52.20.130";"Гипс медицинский";"23"
"26.20.16.170";"Манипуляторы";"26"
"26.11.30.000";"Схемы интегральные электронные";"26"
"28.99.11.112";"Машины листорезальные";"28"
"15.20.32.129";"Обувь специальная прочая, не включенная в другие группировки";"15"
"20.30.22.220";"Растворители и разбавители органические сложные; составы готовые для удаления красок и лаков (смывки)";"20"
"24.43.22.000";"Пыль, порошки и чешуйки цинковые";"24"
"20.15.60.000";"Нитрат натрия";"20"
"20.14.32.120";"Кислота уксусная, ее соли и сложные эфиры";"20"
"20.14.63.110";"Эфиры простые";"20"
"28.29.12.135";"Фильтры жидкостные патронные";"28"
"27.20.23.120";"Батареи аккумуляторные никель-металл-гидридные";"27"
"20.16.54.000";"Полиамиды в первичных формах";"20"
"25.73.30.225";"Пинцеты";"25"
"20.14.23.120";"Спирты многоатомные";"20"
"23.44.12.110";"Изделия керамические лабораторного и химического назначения, кроме фарфоровых";"23"
"20.14.22.111";"Спирт метиловый (метанол)";"20"
"20.14.11.110";"Углеводороды ациклические насыщенные";"20"
"20.14.12.140";"Толуолы";"20"
"20.14.14.000";"Производные углеводородов сульфированные, нитрованные или нитрозированные, галогенированные и негалогенированные";"20"
"20.14.11.114";"Гексан";"20"
"23.91.12.120";"Шкурка шлифовальная на бумажной или картонной основе";"23"
