"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"28.23.23.000";"Машины офисные прочие";"28"
"31.01.12.110";"Столы письменные деревянные для офисов, административных помещений";"31"
"26.30.50.119";"Приборы и аппаратура для систем охранной сигнализации прочие, не включенные в другие группировки";"26"
"43.39.19.190";"Работы завершающие и отделочные в зданиях и сооружениях, прочие, не включенные в другие группировки";"43"
"28.22.18.390";"Оборудование подъемно-транспортное и погрузочно-разгрузочное прочее, не включенное в другие группировки";"28"
"43.21.10.120";"Работы электромонтажные, связанные с установкой приборов";"43"
"19.20.21.120";"Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу";"19"
"14.12.30.190";"Одежда производственная и профессиональная прочая, не включенная в другие группировки";"14"
"52.29.20.000";"Услуги транспортные вспомогательные прочие, не включенные в другие группировки";"52"
"62.09.10.000";"Услуги по установке компьютеров и периферийного оборудования";"62"
"26.20.18.000";"Устройства периферийные с двумя или более функциями: печать данных, копирование, сканирование, прием и передача факсимильных сообщений";"26"
"56.10.11.129";"Услуги прочих предприятий питания с полным обслуживанием без сопровождения развлекательных программ";"56"
"43.21.10.130";"Работы по монтажу сетей электроосвещения и электроснабжения и электроарматуры для систем аварийного электроснабжения";"43"
"43.22.12.120";"Работы по установке и техническому обслуживанию систем управления центральным отоплением";"43"
"01.11.33.110";"Зерно овса";"01"
"32.30.14.129";"Оборудование для занятий физкультурой, гимнастикой и атлетикой, занятий в спортзалах, фитнес-центрах прочее, не включенное в другие группировки";"32"
"43.91.19.190";"Работы кровельные прочие, не включенные в другие группировки";"43"
"31.01.12.190";"Мебель офисная деревянная прочая";"31"
"96.01.19.000";"Услуги по чистке текстильных изделий прочие";"96"
"38.11.21.000";"Услуги по сбору неопасных отходов городского хозяйства, непригодных для повторного использования";"38"
"26.20.40.130";"Инструменты и принадлежности для вычислительных машин";"26"
"25.12.10.000";"Двери, окна и их рамы и пороги для дверей из металлов";"25"
"95.11.10.190";"Услуги по ремонту прочего компьютерного и периферийного компьютерного оборудования";"95"
"10.91.10.290";"Корма для сельскохозяйственных животных прочие";"10"
"38.21.29.000";"Услуги по утилизации неопасных отходов прочие";"38"
"33.15.10.000";"Услуги по ремонту и техническому обслуживанию судов и лодок";"33"
"52.22.19.192";"Услуги, связанные с внутренним водным транспортом, прочие";"52"
"33.11.11.000";"Услуги по ремонту и техническому обслуживанию металлических конструкций";"33"
"19.20.29.119";"Масла моторные прочие, не включенные в другие группировки";"19"
"32.50.50.000";"Изделия медицинские, в том числе хирургические, прочие";"32"
"32.50.21.112";"Оборудование терапевтические";"32"
"19.20.21.123";"Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу экологического класса К3";"19"
